age_rating,app_rating,category,compatibility,languages,name,price,rank,rating_count,size
4+,4.6,"
                  Reference
                ","Requires iOS 11.2 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German, Greek, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",Talk & Translate,Free,17,164 Ratings,47.4 MB
4+,4.8,"
                  Reference
                ","Requires iOS 11.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch. Apple TV.","English, Arabic, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Night Sky,Free,71,629 Ratings,983.7 MB
4+,4.7,"
                  Reference
                ","Requires iOS 9.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, French, Indonesian, Malay, Russian, Urdu",Islamic Calendar: Azan & Quran,Free,50,114 Ratings,106.6 MB
4+,1.6,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,9square for Insta Grid,Free,25,16 Ratings,6.9 MB
4+,4.7,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, French, Indonesian, Malay, Russian, Urdu",Al Quran App,Free,169,39 Ratings,28.9 MB
4+,4.7,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",iHandy Translator,Free,,31 Ratings,48 MB
4+,4.6,"
                  Reference
                ","Requires iOS 13.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Dutch, French, German, Italian, Japanese, Portuguese, Russian, Simplified Chinese, Spanish, Swedish",Translate Professional,Free,,137 Ratings,20.1 MB
17+,4.2,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Parallel Space: Multi Accounts,Free,10,187 Ratings,21.4 MB
4+,4.8,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Dutch, French, Hebrew, Indonesian, Italian, Korean, Persian, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish, Urdu, Vietnamese",Bible.is - Audio Bibles,Free,95,1.1K Ratings,46.2 MB
12+,3.4,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Indonesian",Tanya Ustadz,Free,62,39 Ratings,25.3 MB
4+,5.0,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Cheats for The Sims,Free,,3 Ratings,9.5 MB
12+,4.8,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, German",KTdict C-E,Free,,61 Ratings,127 MB
4+,4.3,"
                  Reference
                ","Requires iOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Doa-doa Harian,Free,,14 Ratings,1.5 MB
4+,4.9,"
                  Reference
                ","Requires iOS 12.0 or later. Compatible with iPhone, iPad and iPod touch.","English, German, Portuguese, Spanish",Bible App by Olive Tree,Free,,679 Ratings,116 MB
4+,4.9,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Apa Doanya: Doa & Dzikir,Free,18,1.6K Ratings,11.4 MB
4+,4.8,"
                  Reference
                ","Requires iOS 9.0 and watchOS 3.2 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Translate Now - Translator,Free,21,2.3K Ratings,227.4 MB
4+,3.8,"
                  Reference
                ","Requires iOS 6.1 or later. Compatible with iPhone, iPad and iPod touch.",English,Romadon,Free,,38 Ratings,3.1 MB
4+,1.9,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,BPJSTK ISOSS,Free,138,71 Ratings,24.5 MB
12+,4.3,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Guide for Clash of Clans - CoC,Free,,3 Ratings,65 MB
4+,3.6,"
                  Reference
                ","Requires iOS 10.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Simulasi Soal Tes CPNS,Free,8,12 Ratings,33.1 MB
4+,4.6,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Azerbaijani, Bengali, Bulgarian, Dutch, French, German, Hindi, Indonesian, Malay, Persian, Portuguese, Russian, Spanish, Turkish","Muslim Assistant: Adhan, Qibla",Free,11,868 Ratings,112.6 MB
4+,4.8,"
                  Reference
                ","Requires iOS 8.0 and watchOS 4.3 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bengali, Dutch, French, German, Hindi, Indonesian, Italian, Japanese, Korean, Malay, Malayalam, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Urdu",Quran Tafsir تفسير القرآن,Free,,388 Ratings,443.4 MB
4+,4.1,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Juz Amma Audio dan Terjemahan,Free,51,14 Ratings,96.3 MB
4+,4.8,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bengali, Bosnian, Chinese, French, German, Indonesian, Italian, Malay, Persian, Portuguese, Russian, Spanish, Turkish, Urdu",Quran Tajweed Pro | مصحف تجويد,Free,,1.7K Ratings,89.5 MB
4+,4.2,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Bibel&Ende,Free,,403 Ratings,8.8 MB
4+,4.1,"
                  Reference
                ","Requires iOS 9.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Fake GPS Location!,Free,16,418 Ratings,31.2 MB
4+,2.9,"
                  Reference
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Cheats for The Sims FreePlay,Free,83,36 Ratings,36.9 MB
17+,3.6,"
                  Reference
                ","Requires iOS 10.0 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Korean",네이버 - NAVER,Free,27,17 Ratings,324.2 MB
4+,3.1,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Kamus Jepang-Indonesia,Free,40,8 Ratings,29.8 MB
4+,4.7,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Doa Harian,Free,44,172 Ratings,16.5 MB
4+,4.6,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Juz ’Amma - Suras of the Quran (جزء عمّ),Free,30,171 Ratings,7.3 MB
4+,4.6,"
                  Reference
                ","Requires iOS 5.0 or later. Compatible with iPhone, iPad and iPod touch.",English,UU Indonesia,Free,,80 Ratings,26 MB
4+,4.6,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Pileg Pemilu Legislatif,Free,,496 Ratings,41.2 MB
4+,4.0,"
                  Reference
                ","Requires iOS 10.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Al-Furqaan Memorizer,Free,,21 Ratings,60.1 MB
4+,4.8,"
                  Reference
                ","Requires iOS 10.3 or later. Compatible with iPhone 5S, iPhone 6, iPhone 6 Plus, iPhone 6S, iPhone 6S Plus, iPhone SE, iPhone 7, iPhone 7 Plus, iPhone 8, iPhone 8 Plus, iPhone X, iPhone XS, iPhone XS Max, iPhone XR, iPhone 11, iPhone 11 Pro, iPhone 11 Pro Max, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro (12.9-inch), iPad Pro (12.9-inch) Wi-Fi + Cellular, iPad Pro (9.7‑inch), iPad Pro (9.7-inch) Wi‑Fi + Cellular, iPad (5th generation), iPad (5th generation) Wi‑Fi + Cellular, iPad Pro (12.9‑inch) (2nd generation), iPad Pro (12.9‑inch) (2nd generation) Wi‑Fi + Cellular, iPad Pro (10.5‑inch), iPad Pro (10.5-inch) Wi‑Fi + Cellular, iPad (6th generation), iPad Wi-Fi + Cellular (6th generation), iPad Pro (11-inch), iPad Pro (11-inch) Wi-Fi + Cellular, iPad Pro (12.9-inch) (3rd generation), iPad Pro (12.9-inch) (3rd generation) Wi-Fi + Cellular, iPad mini (5th generation), iPad mini (5th generation) Wi-Fi + Cellular, iPad Air (3rd generation), iPad Air (3rd generation) Wi-Fi + Cellular, iPad (7th generation), iPad (7th generation) Wi-Fi + Cellular and iPod touch.","English, Arabic",iQuran,Free,151,467 Ratings,209.1 MB
4+,4.8,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone 5S, iPhone 6, iPhone 6 Plus, iPhone 6S, iPhone 6S Plus, iPhone SE, iPhone 7, iPhone 7 Plus, iPhone 8, iPhone 8 Plus, iPhone X, iPhone XS, iPhone XS Max, iPhone XR, iPhone 11, iPhone 11 Pro, iPhone 11 Pro Max, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro (12.9-inch), iPad Pro (12.9-inch) Wi-Fi + Cellular, iPad Pro (9.7‑inch), iPad Pro (9.7-inch) Wi‑Fi + Cellular, iPad (5th generation), iPad (5th generation) Wi‑Fi + Cellular, iPad Pro (12.9‑inch) (2nd generation), iPad Pro (12.9‑inch) (2nd generation) Wi‑Fi + Cellular, iPad Pro (10.5‑inch), iPad Pro (10.5-inch) Wi‑Fi + Cellular, iPad (6th generation), iPad Wi-Fi + Cellular (6th generation), iPad Pro (11-inch), iPad Pro (11-inch) Wi-Fi + Cellular, iPad Pro (12.9-inch) (3rd generation), iPad Pro (12.9-inch) (3rd generation) Wi-Fi + Cellular, iPad mini (5th generation), iPad mini (5th generation) Wi-Fi + Cellular, iPad Air (3rd generation), iPad Air (3rd generation) Wi-Fi + Cellular, iPad (7th generation), iPad (7th generation) Wi-Fi + Cellular, iPod touch (6th generation) and iPod touch (7th generation).","English, Arabic, Bengali, Bosnian, Chinese, French, German, Indonesian, Italian, Malay, Persian, Portuguese, Russian, Spanish, Turkish, Urdu",Quran Majeed - القرآن المجيد,Free,88,1.5K Ratings,189.6 MB
12+,4.3,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Czech, Danish, Dutch, Estonian, Finnish, French, German, Greek, Hebrew, Hungarian, Icelandic, Italian, Macedonian, Norwegian Bokmål, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Slovak, Slovenian, Spanish, Swedish, Turkish",Cheats for GTA - for all Grand Theft Auto games,Free,131,17 Ratings,38.6 MB
4+,4.8,"
                  Reference
                ","Requires iOS 9.0 and watchOS 4.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Merriam-Webster Dictionary,Free,45,241 Ratings,279.4 MB
4+,4.7,"
                  Reference
                ","Requires iOS 10.0 and watchOS 3.0 or later. Compatible with iPhone, iPad and iPod touch. Apple TV.","English, Arabic, French, German, Indonesian, Malay, Spanish, Turkish",Athan Pro - Full Azan & Qibla,Free,23,1.4K Ratings,100.4 MB
4+,4.4,"
                  Reference
                ","Requires iOS 3.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Yasin Dan Terjemahan,Free,,60 Ratings,7.9 MB
4+,4.2,"
                  Reference
                ","Requires iOS 10.2 or later. Compatible with iPhone, iPad and iPod touch.",English,Ensiklopedi Hadits,Free,33,38 Ratings,322.3 MB
4+,4.7,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Oxford Dictionary of English,Free,26,310 Ratings,246.2 MB
4+,4.3,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,KidungJemaat,Free,,211 Ratings,1.5 MB
4+,4.5,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bengali, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Persian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Learn Korean Phrases & Words,Free,46,83 Ratings,39.8 MB
4+,4.2,"
                  Reference
                ",Requires iOS 7.0 or later. Compatible with iPad.,English,Alkitab for iPad,Free,,47 Ratings,13.2 MB
9+,4.3,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, French, German, Hindi, Indonesian, Italian, Japanese, Korean, Malay, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish, Vietnamese",Flitto - Translate & Learn,Free,178,29 Ratings,106.6 MB
4+,3.4,"
                  Reference
                ","Requires iOS 6.1 or later. Compatible with iPhone, iPad and iPod touch.",English,Juz'Amma - Indonesia,Free,112,19 Ratings,23.6 MB
4+,4.8,"
                  Reference
                ","Requires iOS 8.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Dictionary.com: English Words,Free,84,70 Ratings,154.6 MB
4+,3.9,"
                  Reference
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Surat Yasin Audio dan Tahlil,Free,32,14 Ratings,70.9 MB
17+,4.4,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, Portuguese, Russian, Simplified Chinese, Spanish",Water Effects - Funny Photo Reflect Clone Editor,Free,,15 Ratings,23.3 MB
4+,4.3,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, Portuguese, Russian, Simplified Chinese, Spanish",Foto Reflect - Ripples Effects,Free,168,18 Ratings,29.2 MB
17+,4.6,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Afrikaans, Albanian, Arabic, Armenian, Assamese, Asturian, Basque, Bengali, Bosnian, Breton, Burmese, Cambodian, Catalan, Central Kurdish, Chechen, Czech, Danish, Dimli (individual language), Dutch, Esperanto, Faeroese, Finnish, French, Galician, Georgian, German, Greek, Hawaiian, Hebrew, Hindi, Hungarian, Hunsrik, Icelandic, Indonesian, Italian, Japanese, Kannada, Karachay-Balkar, Korean, Kölsch, Latvian, Lithuanian, Luxembourgish, Macedonian, Malay, Malayalam, Marathi, Nepali, Norwegian Bokmål, Occitan, Oriya, Oromo, Pashto, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Sanskrit, Scots, Serbian, Simplified Chinese, Sindhi, Slovak, Spanish, Sudanese, Swahili, Swedish, Tajik, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Upper Sorbian, Urdu, Uzbek, Venetian, Vietnamese, Welsh, Yakut, Yiddish",Wikipedia,Free,22,38 Ratings,87.8 MB
4+,4.3,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Simplified Chinese","Color Edit - Colour Photo Sketch, Pic FX Camera",Free,182,19 Ratings,36.8 MB
4+,4.9,"
                  Reference
                ","Requires iOS 9.3 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bengali, Dutch, French, German, Hindi, Indonesian, Italian, Japanese, Korean, Malay, Malayalam, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Urdu",Quran Majeed – القرآن المجيد,Free,28,6.7K Ratings,189.2 MB
4+,4.6,"
                  Reference
                ","Requires iOS 7.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Dutch, French, German, Indonesian, Italian, Japanese, Malay, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Turkish",Muslim Mate - Ramadan 2019,Free,66,754 Ratings,276.3 MB
12+,4.7,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, French, Portuguese, Russian, Simplified Chinese, Spanish",Emojis Chat - Anime Emoticons,Free,,23 Ratings,113.4 MB
9+,4.2,"
                  Reference
                ","Requires iOS 9.3 or later. Compatible with iPhone, iPad and iPod touch.",English,Pleco Chinese Dictionary,Free,19,150 Ratings,136.8 MB
4+,4.9,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch. Apple TV.","English, Arabic, Bosnian, Croatian, Danish, French, German, Indonesian, Italian, Japanese, Korean, Malay, Persian, Russian, Serbian, Simplified Chinese, Spanish, Traditional Chinese, Turkish, Urdu",Quran Pro Muslim القرآن الكريم,Free,13,14.8K Ratings,121.7 MB
4+,4.5,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Alkitabku: Bible & Devotional,Free,6,963 Ratings,21.7 MB
4+,3.7,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,E-Quran – Full Quran Kareem with Audio & Transliteration & Translation - القرآن الكريم,Free,35,90 Ratings,58.9 MB
12+,4.8,"
                  Reference
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, French, German, Hindi, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Urdu",U-Dictionary,Free,5,7.3K Ratings,128.2 MB
4+,4.8,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bengali, Bosnian, Catalan, Chinese, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Persian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Quran Al Kareem القرآن الكريم,Free,15,20.2K Ratings,106.8 MB
4+,4.7,"
                  Reference
                ","Requires iOS 6.1 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bengali, Bosnian, Chinese, French, German, Indonesian, Italian, Malay, Persian, Portuguese, Russian, Spanish, Turkish, Urdu",Quran Audio Translation and Tafseer Pro for Muslim مصحف القران الكريم مع ترجمة و تفسير,Free,58,641 Ratings,67.9 MB
4+,3.8,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Kamus Besar Bahasa Indonesia,Free,9,41 Ratings,33.1 MB
4+,4.0,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Danish, French, German, Japanese, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",Alkitab,Free,4,228 Ratings,13.2 MB
4+,3.2,"
                  Reference
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,alQuran,Free,54,81 Ratings,20 MB
4+,4.6,"
                  Reference
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Albanian, Amharic, Arabic, Azerbaijani, Bengali, Bosnian, Bulgarian, Chinese, Czech, Dutch, French, German, Hausa, Hindi, Indonesian, Italian, Korean, Malay, Malayalam, Norwegian Bokmål, Persian, Polish, Portuguese, Romanian, Russian, Somali, Spanish, Swahili, Swedish, Tajik, Tamil, Thai, Turkish, Uighur, Urdu, Uzbek",Quran قرآن Коран Kuran Coran,Free,20,1.2K Ratings,26.5 MB
4+,3.4,"
                  Reference
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Kamusku (English - Indonesian Dictionary),Free,7,165 Ratings,19.2 MB
4+,4.7,"
                  Reference
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Indonesian",Quranesia,Free,52,3.8K Ratings,299.1 MB
4+,4.6,"
                  Reference
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Albanian, Arabic, Armenian, Azerbaijani, Bengali, Bosnian, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Georgian, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Irish, Italian, Japanese, Kazakh, Korean, Laotian, Latvian, Lithuanian, Macedonian, Malay, Malayalam, Mongolian, Nepali, Norwegian, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swedish, Tamil, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Welsh",Google Translate,Free,1,2.7K Ratings,80.1 MB
4+,4.9,"
                  Reference
                ","Requires iOS 11.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch. Apple TV.","English, Afrikaans, Albanian, Arabic, Belarusian, Bulgarian, Burmese, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Filipino, Finnish, French, German, Greek, Haitian, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Kurdish, Latvian, Lithuanian, Macedonian, Malay, Malayalam, Mongolian, Norwegian Bokmål, Persian, Polish, Portuguese, Romanian, Russian, Shona, Simplified Chinese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Welsh, Zulu",Bible,Free,3,38.9K Ratings,139.7 MB
12+,4.9,"
                  Reference
                ","Requires iOS 9.0 and watchOS 2.2 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Azerbaijani, Bengali, Danish, Dutch, French, Fulah, German, Hindi, Indonesian, Italian, Japanese, Malay, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Turkish, Uighur, Urdu","Muslim Pro: Azan, Quran, Qibla",Free,2,309K Ratings,160.3 MB
4+,,"
                  Productivity
                ","Requires iOS 12.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Chinese, Dutch, French, German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Spanish, Turkish",Adblock Plus for Safari (ABP),Free,,,35.9 MB
17+,4.8,"
                  Productivity
                ","Requires iOS 11.0 and watchOS 2.2 or later. Compatible with iPhone, iPad and iPod touch.","English, Afrikaans, Arabic, Azerbaijani, Bosnian, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Esperanto, Estonian, Finnish, French, Galician, Georgian, German, Greek, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Malay, Nepali, Norwegian Bokmål, Norwegian Nynorsk, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swedish, Tamil, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",LastPass Password Manager,Free,,56 Ratings,149.7 MB
4+,3.4,"
                  Productivity
                ","Requires iOS 7.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Guide for iCloud & iCloud Drive - Backup & Restore your Photos,Free,,7 Ratings,57 MB
17+,2.0,"
                  Productivity
                ","Requires iOS 6.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Afrikaans, Albanian, Arabic, Armenian, Azerbaijani, Basque, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Irish, Italian, Japanese, Korean, Latvian, Lithuanian, Macedonian, Malay, Maltese, Norwegian Bokmål, Persian, Polish, Portuguese, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Background Player for Cloud Platforms,Free,,2 Ratings,57.9 MB
4+,4.7,"
                  Productivity
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Bulgarian, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian",Translate-Smart Translator!,Free,,3 Ratings,20.6 MB
4+,4.8,"
                  Productivity
                ","Requires iOS 9.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Czech, French, German, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Traditional Chinese, Turkish",DWG FastView-CAD Viewer&Editor,Free,,21 Ratings,213.3 MB
4+,2.0,"
                  Productivity
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,CPUZ,Free,77,7 Ratings,16 MB
4+,4.6,"
                  Productivity
                ","Requires iOS 9.0 and watchOS 2.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Japanese, Korean, Simplified Chinese",Do! Spring Pink - To Do List,Free,,26 Ratings,128.4 MB
4+,4.5,"
                  Productivity
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.",English,PDF to Word Converter with OCR,Free,126,29 Ratings,48.2 MB
4+,3.0,"
                  Productivity
                ","Requires iOS 8.0 or later. Compatible with iPhone, iPad and iPod touch.",English,OCR - scan text from camera,Free,,9 Ratings,23.4 MB
4+,4.6,"
                  Productivity
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Vietnamese",Fast VPN & Wi-Fi Proxy,Free,,48 Ratings,44.3 MB
17+,4.8,"
                  Productivity
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",PDF Pro 3,Free,,187 Ratings,80.9 MB
4+,4.7,"
                  Productivity
                ","Requires iOS 10.0 or later. Compatible with iPhone, iPad and iPod touch.","English, Indonesian, Spanish",ChatAja,Free,45,75 Ratings,158.5 MB
4+,3.0,"
                  Productivity
                ","Requires iOS 11.0 or later. Compatible with iPhone, iPad and iPod touch.",English,Line2 - Second Phone Number,Free,,5 Ratings,203.8 MB
4+,,"
                  Productivity
                ","Requires iOS 9.3 or later. Compatible with iPhone, iPad and iPod touch.","English, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Pen Note Taking - Notepad,Free,,,36.9 MB
